"","b_yrav","B_yrvar","B_yrstab","S_yrav","Spie_yrav","sN_yrav","Nind_yrav","b_shrimp_yrav","b_shrimp_yrstab","b_flounder_yrav","b_flounder_yrstab","B_yrsd","S_yrsd","Spie_yrsd","sN_yrsd","Nind_yrsd","b_shrimp_yrsd","b_flounder_yrsd","tempS_yr","tempB_yr","salB_yr","salS_yr","tempS_yrsd","tempB_yrsd","salB_yrsd","salS_yrsd","ID"
"1246",1109.79069355556,0.0884039956372922,11.3117059109279,52.0995555555556,5.45383200668565,15.5952025686516,13520.7024444444,9.04619733333333,1.4672857522613,4.59634644444444,0.946653454369103,329.97195194424,7.03224589144733,1.0818564096535,1.60085666607364,4163.63168725886,7.46807562182329,4.72408000157004,22.2229544444444,21.9656182222222,34.5654238666667,33.2040247111111,0.663078985479692,0.837239856176499,0.387116177916114,0.673240880350169,"1246"
"1294",1220.05743788889,0.442377435416463,2.26051312734471,54.5763333333333,6.41068311796239,16.7116729444364,12374.9693333333,7.04456633333333,4.19806356997579,4.684578,2.00671199157914,811.478018707046,8.08379964806155,1.64185132915817,2.21733822121393,8408.00688421894,3.43818908740953,3.30695245939135,22.55022,22.0893473333333,34.8640204222222,34.3263771777778,0.83492624130638,0.817417499889745,0.437952620708182,0.783845566044423,"1294"
"1340",908.163992888889,0.416297964677496,2.40212560437257,53.2793333333333,5.46118576774583,16.0433801261381,15193.3611111111,21.014375,6.4505207074287,3.66847577777778,4.90225605506835,585.95791187994,5.52309587097671,1.01253567859474,1.54920885907217,7920.04216017335,8.27406810045174,1.65686704544645,22.6246382222222,22.0256677777778,35.1833242444444,34.9228748222222,0.629993741989112,0.706422957826573,0.39622935620544,0.43966391108338,"1340"
"1486",1193.43813188889,0.114907828592134,8.70262724700422,51.5376666666667,4.66190084003197,14.2151747660981,16711.6981111111,15.547314,1.35768516752461,4.01228388888889,3.05558351935316,404.55234129613,5.30552469130057,1.20609665349397,1.34226099259832,5506.604515677,13.34307211107,2.29532704814344,22.7222506111111,22.0841999259259,35.2781671833333,34.4824130351852,0.74094860818623,0.704982523277504,0.32806256726812,0.793064989963132,"1486"
"1532",469.145368444444,0.0598828499406681,16.699272011783,49.2283333333333,5.43323503959689,16.0000102215405,7190.71788888889,4.45844788888889,1.48239839213443,0.958007777777778,5.79020059332158,114.804434510298,3.83236085853094,1.25418872440486,1.88999099049748,2212.78282691041,3.66185570744471,0.398127548999933,22.6647135555556,22.1801035555556,34.6865502444444,34.3721465777778,1.26205750873198,1.2805421868001,0.473086100685455,0.644728242195558,"1532"
"1534",1052.88162811111,0.0842459907400228,11.8700010673022,51.2631111111111,4.23710266773724,14.7562526657744,14346.7363333333,12.6482408888889,2.41211916222827,2.38973311111111,4.10961596432416,305.600576149559,5.41271196916214,0.686126768489441,1.46532177044741,3841.1179134489,8.14386843272272,1.178823489513,23.1405221666667,22.443760962963,34.6505014592593,34.02398725,0.215551537566425,0.296875824187474,0.408463225253309,0.583729688318405,"1534"
"1536",887.739572222222,0.195274211911192,5.12100389607403,49.7781111111111,4.27551016638287,14.2807564656868,11124.3232222222,8.90494288888889,1.10303038306494,2.891899,2.91947789443153,392.290712641644,5.24975152851172,0.825086224575365,1.08689714418727,5173.3243474652,8.47885875931619,1.69250720235809,22.7949511111111,22.2622602777778,35.1904523944444,34.6969198333333,0.636368436652158,0.54475359096379,0.333576803285645,0.461125738879914,"1536"
"1582",424.729166555556,0.167594299441365,5.96679005988423,48.8912222222222,5.88066195767305,16.638456511746,5013.75255555556,2.32976755555556,0.703789458834417,0.950371777777778,4.97210898653848,173.87682712077,6.88598109890264,1.45930557799475,2.86096926787816,2531.11955918562,2.77709805362014,0.426209583926376,23.0070863333333,22.3601941666667,34.7694585277778,34.4619625555556,0.560832855310297,0.584686647330538,0.514032976336625,0.617885320659746,"1582"
"1586",404.583820555556,0.0934100590191421,10.7054851533182,43.3684444444444,5.52264595427998,16.0937477474663,3904.29255555556,1.59630044444444,1.84334876483535,1.88736333333333,4.69752406706295,123.653192757388,3.04764347944076,0.888417246548785,1.46740383029596,1633.07279194278,1.1757388759189,0.870805185738894,23.0657843333333,22.6980495925926,34.9143180814815,34.68163945,0.679359576148375,0.846509704007183,0.45841543422267,0.538782306496096,"1586"
"1630",529.697242333333,0.635305202285529,1.57404661004266,48.849,5.29761759945469,16.031838672129,4822.38411111111,0.447405555555556,0.916729635202029,0.87717,4.07059426950995,422.200669615262,5.52703670604783,0.961654737874736,1.22225621104906,1436.31486721179,0.467283812960365,0.434765287173436,22.7906222222222,22.2929753333333,34.826677,34.6603068,0.963526760373806,1.03213169070085,0.455353402044202,0.49817053185354,"1630"
"1680",527.482460555556,0.217097656570587,4.60622199150667,51.2521111111111,5.67415614407472,17.4112337886094,6019.28844444444,7.45180288888889,1.56211585255605,1.334932,3.80850103204416,245.773803868808,4.3786266524004,1.1111034019743,1.815276180647,4105.30147008801,5.96217526956899,0.684040955505407,22.5611668888889,22.1361082222222,34.7010173555556,34.0311093555556,0.539524136106172,0.527909683861211,0.434685118881597,0.697198508480186,"1680"
"1730",181.119625777778,0.42439204085933,2.35631186196412,41.9904444444444,5.59610618016361,16.8362304736578,2767.46377777778,4.98749888888889,1.11293845039874,0.858977555555556,2.02519113359019,117.99106670552,3.9223584139874,1.34221605806665,2.49824361528872,1749.42924657285,4.72767091554233,0.603599411275829,23.1900608888889,22.7682066666667,34.7889107555556,33.7201767111111,0.548053431264791,0.565194681508947,0.381063686910519,1.28528804964719,"1730"
